NX,dt,mesh_size,L2_error,lgR,lgE,fin,memory,runtime
225,0.0002,0.00222222,0.00013006,-6.10925,-8.94752,8.0002,1.64166e+06,202.407
201,0.0002,0.00248756,0.00016324,-5.99645,-8.72029,8.0002,1.31219e+06,161.784
181,0.0002,0.00276243,0.000201707,-5.89164,-8.5087,8.0002,1.06579e+06,131.787
163,0.0002,0.00306748,0.000249341,-5.7869,-8.29669,8.0002,865920,107.178
147,0.0002,0.00340136,0.000307552,-5.68358,-8.08687,8.0002,705664,87.417
133,0.0002,0.0037594,0.000377178,-5.5835,-7.88279,8.0002,578880,71.982
121,0.0002,0.00413223,0.000457817,-5.48894,-7.68904,8.0002,480192,59.843
110,0.0002,0.00454545,0.000548425,-5.39363,-7.50846,8.0002,397824,49.138
100,0.0002,0.005,0.000667154,-5.29832,-7.31249,8.0002,329664,40.93
91,0.0002,0.00549451,0.000828124,-5.20401,-7.09635,8.0002,273792,34.249
83,0.0002,0.0060241,0.00100737,-5.11199,-6.90041,8.0002,228480,28.686
76,0.0002,0.00657895,0.00119719,-5.02388,-6.72777,8.0002,192192,23.977
70,0.0002,0.00714286,0.0014194,-4.94164,-6.55752,8.0002,163584,20.527
64,0.0002,0.0078125,0.00177347,-4.85203,-6.33482,8.0002,137280,17.173
59,0.0002,0.00847458,0.00219321,-4.77068,-6.12239,8.0002,117120,15.038
54,0.0002,0.00925926,0.00264143,-4.68213,-5.93644,8.0002,98560,12.493
50,0.0002,0.01,0.00325675,-4.60517,-5.72703,8.0002,84864,10.967
